Project ID,Category,Title,County,Improvement Type,Cost,Primary Project, Description
"281","Under Construction","South Perry St. Bridge","Crawford      ","Bridge Improvement","237008","null","South Perry Street Bridge over Oil Creek
City of Titusville
Local Bridge Removal/Pedestrian Bridge Rehabiliation"
"1671","Under Construction","Kelly Rd Brs T-388 (Dual)","Mercer        ","Bridge Replacement","4081075","null","Kelly Road (Township Road 388) Bridges over the Shenango River
City of Hermitage
Local Bridge Replacement"
"2150","Under Construction","McClelland Ave Bridge","Venango       ","Bridge Rehabilitation","718322","null","McClelland Avenue Bridge over Little Sandy Creek
Borough of Polk
Local Bridge Restoration/Rehabilitation"
"2676","Under Construction","Driftwood Br Sinnemahoning Crk","Cameron       ","Bridge Replacement","1582243","null","SR 4004 over Driftwood Branch Sinnemahoning Creek
Shippen Township
Bridge Replacement"
"2685","Under Construction","PA 120 Grove Run Br.","Cameron       ","Bridge Replacement","723554","null","SR 120 over Grove Run
Gibson Township 
Bridge Replacement"
"3279","Under Construction","Emigh Run Bridge","Clearfield    ","Bridge Replacement","777778","null","SR 2036 over Emigh Run
Morris Township
Bridge Replacement"
"3784","Under Construction","PA 477 Fishing Ck Br.","Clinton       ","Bridge Replacement","1381882","null","SR 477 over Fishing Creek
Loganton Borough
Bridge Replacement"
"4435","Under Construction","Elm Street Bridge","McKean        ","Bridge Replacement","1730104","null","Elm Street over E. Branch Tunungwant Creek 
City of Bradford
Bridge Replacement"
"6096","Under Construction","SRs 405 & 2014 Intersection","Lycoming      ","Intersection Improvement","2659125","null","SR 405 (Water St) and SR 2014 (Main St)
Muncy Borough
Intersection Improvement"
"6261","Under Construction","SR 405 over Glade Run","Lycoming      ","Bridge Replacement","0","6096","SR 405 (Water St) over Glade Run
Muncy Borough
Bridge improvement"
"7588","Under Construction","Cent. Susq. Val. Sty","Snyder        ","New Roadway","0","114493","From SR 11/15 and SR 522 interchange, Shamokin Dam Boro to SR 405 & SR 147 intersection W. Chillisquaque Twp in Snyder, Union, and Northumberland Counties. Pre-construction and environmental monitoring activities for CSVT"
"8235","Under Construction","SR 107 over SB Tunkhannock Creek","Lackawanna    ","Bridge Preservation Activities","943402","null","Bridge rehabilitation on State Route 107 (Heartlake Road) over the South Branch of Tunkhannock Creek in Scott Township, Lackawanna County."
"8242","Under Construction","SR 407 over Lackawanna Lake","Lackawanna    ","Bridge Rehabilitation","2059850","null","Bridge rehabilitation on State Route 407 (Philly Great Bend Turnpike) over Lackawanna Lake in Benton Township, Lackawanna County."
"8257","Under Construction","SR 8008 over I-84 / I-380","Lackawanna    ","Bridge Preservation Activities","0","93807","Bridge preservation on State Route 8008 (Ramp D Road) over Interstates 84 and 380 in Roaring Brook Township, Lackawanna County."
"8312","Under Construction","SR 307 over Green Run","Lackawanna    ","Replace/Rehab","1872832","null","Bridge replacement on State Route 307 (Scranton Pocono Highway) over Green Run in Roaring Brook Township, Lackawanna County."
"9079","Under Construction","SR 93 over Nescopeck Creek","Luzerne       ","Bridge Replacement","3848617","null","Bridge replacement on State Route 93 (Berwick-Hazelton Highway) over Nescopeck Creek in Sugarloaf Township, Luzerne County."
"9087","Under Construction","SR 2010 over SR 29","Luzerne       ","Bridge Rehabilitation","4211660","null","Bridge rehabilitation on State Route 2010 (Main Street) over State Route 29 (South Cross Valley Expressway) in Hanover Township and Sugar Notch Borough, Luzerne County."
"9379","Under Construction","SR 507 over Tributary to Lake Wallenpaupack 1","Pike          ","Replace/Rehab","843062","null","Bridge rehabilitation on State Route 507 (Wallenpaupack Road) over Tributary to Lake Wallenpaupack in Palmyra Township, Pike County."
"9397","Under Construction","Milford - Bushkill #2","Pike          ","Restoration","32935663","null","Restoration of State Route 2001 from Township Road 337 (Little Egypt Road) to Township Road (Rockledge Road) in Lehman and Delaware Townships, Pike County."
"9462","Under Construction","SR 3029 over East Branch Wyalusing Creek","Susquehanna   ","Bridge Replacement","2188088","null","Bridge replacement on State Route 3029 (Forest Lake Road) over Wyalusing Creek, in Jessup Township, Susquehanna County."
"9745","Under Construction","Bradford to Rush","Susquehanna   ","Restoration","4332579","null","Intersection Improvement on SR 706 and SR 267; bridge replacement of three bridges on SR 706 over Branch Wyalusing Creek ; and bridge removal on SR 3037 over Branch Wyalusing Creek in Rush Township, Susquehanna County."
"10229","Under Construction","SR 92 over Tributary of Susquehanna River","Wyoming       ","Bridge Rehabilitation","1558286","null","Bridge rehabilitation on State Route 92 over tributary to Susquehanna River, in Falls Township, Wyoming County."
"10466","Under Construction","Interstate 78 (12M)","Berks         ","Reconstruct","167959541","null","Interstate 78; Lenhartsville to Lehigh County Line
Greenwich Township
Reconstruction with climbing lanes and diamond Interchange"
"10588","Under Construction","Stumps Bridge over Kistler Creek","Berks         ","Replace/Rehab","1372000","null","SR 1017 over Kistlers Creek
Berks County
Bridge Replacement"
