Project ID,Category,Title,County,Improvement Type,Cost,Primary Project, Description
"170","Completed","Mead Avenue Bridge","Crawford      ","Bridge Replacement","7075044","null","Mead Avenue Bridge over French Creek along with coordination with the Western New York and Pennsylvania Railroad (AAR #262783V) 
City of Meadville
Local Bridge Replacement"
"261","Completed","Peters Rd Br Removal T703","Crawford      ","Bridge Removal","970351","null","Peters Road (Township Road 703) Bridge over Western New York and PA Railroad (DOT #262860T)
Woodcock Township
Local Bridge Removal"
"306","Completed","Eddies Rd. Br./ T-776","Crawford      ","New Roadway","56007","null","Eddies Road (Township Road 776) from approximately .5 miles northwest of Little Cooley
Athens Township
This project is for the new construction of a gravel Cal-de-sac on the southern approach."
"404","Completed","SR 198/Coneaut Ck Trib","Crawford      ","Bridge Rehabilitation","460286","null","State Route 198 (Foster Road) Bridge over Conneaut Creek Tributary 
Summerhill Township
Bridge Restoration/Rehabilitation"
"483","Completed","PA 198 Bridge/French Creek","Crawford      ","Bridge Rehabilitation","7383504","null","State Route 198 (Brookhouser Road) Bridge over French Creek 
Hayfield and WoodcockTownships, and the Borough of Saegertown
Bridge Rehabilitation/Restoration"
"489","Completed","SR 1016: Brown Hill Rd Br","Crawford      ","Bridge Replacement","300000","null","State Route 1016 (Brown Hill Road) Bridge over Federal Run
Bloomfield Township
Department Force Bridge Replacement"
"494","Completed","SR 2028 Br ov Pine Creek","Crawford      ","Bridge Replacement","1027033","null","State Route 2028 (Enterprise Road) Bridge over Pine Creek
Oil Creek Township
Bridge Replacement"
"495","Completed","SR 3005/Trib. Sheng. Riv.","Crawford      ","Bridge Replacement","417720","null","State Route 3005 (East Lake Road) Bridge over the Shenango River Tributary
South Shenango Township
Bridge Replacement"
"498","Completed","SR 3016: Hrmsburg Rd Br","Crawford      ","Bridge Preservation Activities","150000","null","State Route 3016 (Harmonsburg Road) Bridge over Inlet Creek
Summit Township           
Dept. Force Bridge Preservation"
"505","Completed","SR 1007: Bidley Crns Brdg","Crawford      ","Bridge Replacement","677396","null","State Route 1007 (Brown Hill Road) Bidley Corners Bridge over Federal Run 
Athens Township
Bridge Replacement"
"527","Completed","Wallace Ave Bridge/Linesville Ck","Crawford      ","Bridge Rehabilitation","548312","null","Wallace Avenue (Township Road 346) Bridge over Linesville Creek
Conneaut Township
Local Bridge Replacement/Rehabilitation/Removal"
